url,label
google.com,0
amazon.com,0
facebook.com,0
paypal.com,0
netflix.com,0
microsoft.com,0
apple.com,0
github.com,0
linkedin.com,0
twitter.com,0
wikipedia.org,0
openai.com,0
stackoverflow.com,0
coursera.org,0
paypal-login-secure.com,1
verify-account-paypal.com,1
secure-login-bank.com,1
free-gift-card.com,1
update-your-bank-info.com,1
login-verification-alert.com,1
account-secure-update.com,1
bank-login-confirmation.com,1
urgent-password-reset.com,1
secure-user-login.com,1
secure-bank-login-update.com,1
verify-paypal-account-now.com,1
login-amazon-security-alert.com,1
update-apple-id-login.com,1
bank-account-verification.com,1
paypal-security-warning.com,1
verify-netflix-account.com,1
facebook-login-alert.com,1
amazon-prize-winner.com,1
confirm-bank-details-now.com,1
